지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y),문화체육업종명
서울특별시 강북구 수유동 252-192,"서울특별시 강북구 노해로 102, 지층 (수유동)",프리원핏 수유점,202005.719786702    ,460219.834080812    ,체력단련장업
서울특별시 강북구 미아동 134-23 소림빌딩,"서울특별시 강북구 도봉로 130, 소림빌딩 2층 (미아동)",허니머슬짐,202471.088183851    ,457586.626536143    ,체력단련장업
서울특별시 강북구 우이동 72-70,"서울특별시 강북구 삼양로 522, 2층 일부, 지층 (우이동)",사일구짐,201157.087189503    ,460809.785861848    ,체력단련장업
서울특별시 강북구 수유동 386-2,"서울특별시 강북구 삼양로 416, 2층 (수유동)",올레이디짐 가오리점,201443.856262024    ,459804.299353062    ,체력단련장업
서울특별시 강북구 번동 445-1,"서울특별시 강북구 오패산로 411, 지층 (번동)",에브리피티,202265.085644187    ,459431.614376268    ,체력단련장업
서울특별시 강북구 수유동 230-10 용신빌딩,"서울특별시 강북구 도봉로 323, 용신빌딩 7층 (수유동)",더네스트(F45 수유),202064.950020931    ,459421.354969102    ,체력단련장업
서울특별시 강북구 미아동 637-397,"서울특별시 강북구 삼양로 118, 3층 (미아동)",짐코사트 PT 삼양점,201910.234747501    ,456898.788065585    ,체력단련장업
서울특별시 강북구 미아동 811-9 위브 테라스 파크,"서울특별시 강북구 삼양로27길 43, 위브 테라스 파크 5층 503호 (미아동)",웰케어PT,201598.511376716    ,457357.306972319    ,체력단련장업
서울특별시 강북구 수유동 45-2,"서울특별시 강북구 노해로 1, 지층 (수유동)",헬스&PT 건짐 수유역점,201946.879194054    ,459256.47164745     ,체력단련장업
서울특별시 강북구 미아동 310-5 캠프,"서울특별시 강북구 도봉로 173, 캠프 지층 (미아동)",우주짐,202277.150339539    ,457977.808366672    ,체력단련장업
서울특별시 강북구 미아동 460-116,"서울특별시 강북구 도봉로15길 11, 지층 (미아동)",DYB 퍼포먼스 트레이닝,202508.130267553    ,457109.959062865    ,체력단련장업
서울특별시 강북구 미아동 35-5 에코피아빌딩,"서울특별시 강북구 도봉로 30, 에코피아빌딩 11층 (미아동)",트렌디우먼휘트니스 미아사거리역점,202641.157422978    ,456588.839527418    ,체력단련장업
서울특별시 강북구 미아동 811-1 두산위브트레지움아파트,"서울특별시 강북구 삼양로27길 80, 상가동 지하3층 205호 (미아동, 두산위브트레지움아파트)",포레스트PT짐,201380.336133514    ,457442.190217996    ,체력단련장업
서울특별시 강북구 미아동 860-171 June27,"서울특별시 강북구 도봉로10길 73, June27 4층 (미아동)",유포리아 피티필라테스,202632.71134547     ,457074.811678173    ,체력단련장업
서울특별시 강북구 미아동 860-171 June27,"서울특별시 강북구 도봉로10길 73, 지층 (미아동)",유포리아 헬스,202632.71134547     ,457074.811678173    ,체력단련장업
서울특별시 강북구 미아동 61-51,"서울특별시 강북구 도봉로13길 13, 3층 (미아동)",스타필라테스,202520.81395775     ,456943.572543006    ,체력단련장업
서울특별시 강북구 번동 416-19,"서울특별시 강북구 한천로131길 17, 4층 (번동)",핏의공식,202350.743493461    ,459564.650497089    ,체력단련장업
서울특별시 중구 남대문로4가 3-5,,88헬스클럽,197962.180314282    ,450902.958064856    ,체력단련장업
