기관명,병원분류명,주소,병원경도,병원위도
가락한의원,한의원,"서울특별시 송파구 송파대로 286, 신흥빌딩 1층 일부2칸호 (가락동)",127.11700826373144,37.49498269715891
가람내과의원,의원,"서울특별시 강동구 아리수로50길 50, 4층 11호 (고덕동, 래미안힐스테이트고덕)",127.15122506926248,37.55826892934586
가람정신건강의학과의원,의원,"서울특별시 관악구 시흥대로 552, 석천빌딩 7층 (신림동)",126.901415809881,37.4821208740528
가산베스트치과의원,치과의원,"서울특별시 금천구 가산디지털1로 219, 벽산디지털밸리6차 2층 214호 (가산동)",126.878992112173,37.4844978892408
가람치과의원,치과의원,"서울특별시 광진구 구의로 23, 3층 (구의동)",127.089403296605,37.5400762590999
고준영이비인후과의원,의원,서울특별시 강남구 삼성로 155  (대치동),127.0629541135,37.4938804973
가람한의원,한의원,"서울특별시 구로구 가마산로 271, 202호 (구로동)",126.890291049446,37.4963996027511
김이비인후과의원,의원,서울특별시 중랑구 망우로 410 (망우동),127.097595683719,37.5989670149032
가람한의원,한의원,"서울특별시 양천구 목동남로4길 2, 2층 201호 (신정동, 세양청마루상가)",126.864535361,37.5082861466
김재면내과의원,의원,서울특별시 노원구 동일로 1533,127.057246351895,37.6653647809563
김정국한의원,한의원,"서울특별시 강남구 봉은사로 108, 3층 (역삼동)",127.0255914666,37.5045335804
길치과의원,치과의원,"서울특별시 구로구 경인로15길 4, SC메디칼센터 401호 (오류동)",126.839978443358,37.4947110746689
가람한의원,한의원,"서울특별시 노원구 섬밭로 156, 204호 (공릉동, 라이프2단지상가)",127.0680042168,37.6307823033
가로세로한의원,한의원,"서울특별시 은평구 갈현로 300, 2층 203호 (갈현동, (유)갈현상가)",126.917419430143,37.6236089884632
가로세로한의원,한의원,"서울특별시 서초구 서초중앙로24길 19, 6층 (서초동, 나라빌딩)",127.015682231875,37.495042310750414
김종하정신과의원,의원,서울특별시 강동구 천호대로 1123 (길동),127.136504379245,37.5350443530047
가미의원,의원,"서울특별시 송파구 오금로 176, 지인빌딩 3층 (송파동)",127.113838998649,37.5090554495244
가바치과교정과치과의원,치과의원,"서울특별시 강북구 도봉로 308, 북한산스카이빌딩 10층 (번동)",127.02383520999,37.6356640949861
남궁한의원,한의원,서울특별시 구로구 구로동로 77-3 (구로동),126.88552820968668,37.485754460367694
김준호의원,의원,서울특별시 영등포구 의사당대로 108 (여의도동),126.923991634451,37.5210144173791
가브리엘치과의원,치과의원,"서울특별시 송파구 양재대로 1158, 3층 (오금동, 에스아이팰리스 송파 올림픽공원)",127.127876709334,37.5106573078104
(의)열린의료재단동대문열린의원,의원,"서울특별시 종로구 종로 335, 원풍빌딩 6층 (창신동)",127.0148243418,37.5731036083714
가뿐한의원,한의원,"서울특별시 강남구 테헤란로 322, 한신인터밸리24 지하2층 B102, B103호 (역삼동)",127.046582379785,37.5032355765545
가산경희한의원,한의원,"서울특별시 금천구 가산디지털2로 70, 대륭테크노타운19차 1층 110호 (가산동)",126.882341560662,37.474706676466
가산곧바로의원,의원,"서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 208,218,219호 (가산동)",126.880662051163,37.4808318534376
